Gene	Family	hippocampus_timing
Nrg1	Nrg	
Nrxn1	Neurexin	Early
Nrxn2	Neurexin	
Nrxn3	Neurexin	Late
Ntm	Ntm	
Ntn1	Netrin	
Ntn3	Netrin	
Ntn4	Netrin	
Ntn5	Netrin	
Ntng1	NetrinG	
Ntng2	NetrinG	
Ntrk1	Ntrk	
Ntrk2	Ntrk	Late
Ntrk3	Ntrk	
Nxph1	Neurexophilin	Early
Nxph2	Neurexophilin	
Odz1	Odz/Teneurin	Early
Odz2	Odz/Teneurin	Early
Odz3	Odz/Teneurin	Early
Odz4	Odz/Teneurin	Early
Omg	Omg	Late
Opcml	Opcml	Early
Pcdh1	Protocadherin	
Pcdh7	Protocadherin	
Pcdh8	Protocadherin	Early
Pcdh9	Protocadherin	
Pcdh10	Protocadherin	
Pcdh11x	Protocadherin	
Pcdh12	Protocadherin	
Pcdh15	Protocadherin	
Pcdh17	Protocadherin	Early
Pcdh18	Protocadherin	Early
Pcdh19	Protocadherin	Early
Pcdh20	Protocadherin	Late
Pcdha1	Protocadherin	
Pcdha2	Protocadherin	Early
Pcdha3	Protocadherin	
Pcdha4	Protocadherin	
Pcdha5	Protocadherin	
Pcdha6	Protocadherin	
Pcdha7	Protocadherin	
Pcdha8	Protocadherin	
Pcdha9	Protocadherin	
Pcdha10	Protocadherin	
Pcdha11	Protocadherin	
Pcdha12	Protocadherin	Early
Pcdhac1	Protocadherin	
Pcdhac2	Protocadherin	Early
Pcdhb1	Protocadherin	
Pcdhb2	Protocadherin	
Pcdhb3	Protocadherin	
Pcdhb4	Protocadherin	
Pcdhb5	Protocadherin	
Pcdhb6	Protocadherin	
Pcdhb7	Protocadherin	Early
Pcdhb8	Protocadherin	
Pcdhb9	Protocadherin	
Pcdhb10	Protocadherin	
Pcdhb11	Protocadherin	
Pcdhb12	Protocadherin	
Pcdhb13	Protocadherin	
Pcdhb14	Protocadherin	
Pcdhb15	Protocadherin	
Pcdhb16	Protocadherin	Early
Pcdhb17	Protocadherin	
Pcdhb18	Protocadherin	
Pcdhb19	Protocadherin	
Pcdhb20	Protocadherin	
Pcdhb21	Protocadherin	
Pcdhb22	Protocadherin	
Pcdhga1	Protocadherin	
Pcdhga2	Protocadherin	
Pcdhga3	Protocadherin	
Pcdhga4	Protocadherin	
Pcdhga5	Protocadherin	
Pcdhga6	Protocadherin	
Pcdhga7	Protocadherin	
Pcdhga8	Protocadherin	
Pcdhga9	Protocadherin	Early
Pcdhga10	Protocadherin	
Pcdhga11	Protocadherin	
Pcdhga12	Protocadherin	
Pcdhgb1	Protocadherin	
Pcdhgb2	Protocadherin	
Pcdhgb4	Protocadherin	
Pcdhgb5	Protocadherin	
Pcdhgb6	Protocadherin	Early
Pcdhgb7	Protocadherin	
Pcdhgb8	Protocadherin	
Pcdhgc3	Protocadherin	Early
Pcdhgc4	Protocadherin	Early
Pcdhgc5	Protocadherin	Late
Pdgfra	Pdgfr	
Pdgfrb	Pdgfr	
Pigr	Pigr	
Pkd1	Pkd	
Ppfia1	Liprin	
Ppfia2	Liprin	Late
Ppfia3	Liprin	Late
Ppfia4	Liprin	
Ptgfrn	Ptgfrn	
Ptk7	Ptk	
Ptpn2	Ptpn	Early
Ptpn5	Ptpn	Early
Ptpra	Ptpr	
Ptprb	Ptpr	
Ptprc	Ptpr	
Ptprd	Ptpr	
Ptpre	Ptpr	Late
Ptprf	Ptpr	Early
Ptprg	Ptpr	Early
Ptprh	Ptpr	
Ptprj	Ptpr	Late
Ptprk	Ptpr	Early
Ptprm	Ptpr	
Ptprn	Ptpr	Late
Ptprn2	Ptpr	Late
Ptpro	Ptpr	Early
Ptprr	Ptpr	Early
Ptprs	Ptpr	Early
Ptprt	Ptpr	Early
Ptpru	Ptpr	Late
Ptprz1	Ptpr	
Pvrl1	Pvrl	
Pvrl2	Pvrl	Early
Pvrl3	Pvrl	Early
Pvrl4	Pvrl	Late
Rtn4r	Rtn	Early
Rtn4rl1	Rtn	Late
Rtn4rl2	Rtn	
Sdc1	Syndecan	
Sdc2	Syndecan	
Sdc3	Syndecan	Early
Sdc4	Syndecan	Late
Sdk2	Sdk	
Sema3b	Semaphorin	
Sema3e	Semaphorin	
Sema3f	Semaphorin	
Sema4d	Semaphorin	Late
Sema4g	Semaphorin	Early
Sema6d	Semaphorin	Early
Sema7a	Semaphorin	
Slitrk1	Slitrk	
Slitrk2	Slitrk	Early
Slitrk3	Slitrk	
Slitrk4	Slitrk	Late
Slitrk5	Slitrk	
Slitrk6	Slitrk	
Tek	Tek	
Tie1	Tie	
Tlr1	Tlr	
Tlr2	Tlr	
Tlr3	Tlr	
Tlr4	Tlr	
Tlr5	Tlr	
Tlr6	Tlr	
Tlr7	Tlr	Late
Tlr8	Tlr	
Tlr9	Tlr	
Tlr11	Tlr	
Tlr12	Tlr	
Tpbg	Tpbg	
Tshr	Tshr	
Tspan5	Tspan	Late
Tyro3	Tyro	Late
Unc5a	Unc5	Late
Unc5b	Unc5	Late
Unc5c	Unc5	
Unc5d	Unc5	Early
Vcam1	Vcam	
Vstm2a	Vstm	
Vstm2b	Vstm	
